Target;Target_Namespace;Target_Type;Target_Method;Job_Id;Job_AnalyzeLaunchVariance;Job_EvaluateOverhead;Job_MaxAbsoluteError;Job_MaxRelativeError;Job_MinInvokeCount;Job_MinIterationTime;Job_OutlierMode;Job_Affinity;Job_EnvironmentVariables;Job_Jit;Job_Platform;Job_PowerPlanMode;Job_Runtime;Job_AllowVeryLargeObjects;Job_Concurrent;Job_CpuGroups;Job_Force;Job_HeapAffinitizeMask;Job_HeapCount;Job_NoAffinitize;Job_RetainVm;Job_Server;Job_Arguments;Job_BuildConfiguration;Job_Clock;Job_EngineFactory;Job_NuGetReferences;Job_Toolchain;Job_IsMutator;Job_InvocationCount;Job_IterationCount;Job_IterationTime;Job_LaunchCount;Job_MaxIterationCount;Job_MaxWarmupIterationCount;Job_MinIterationCount;Job_MinWarmupIterationCount;Job_RunStrategy;Job_UnrollFactor;Job_WarmupCount;Job_Display;Params;Measurement_LaunchIndex;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Nanoseconds;Measurement_Operations;Measurement_Value;Gen_0;Gen_1;Gen_2;Allocated_Bytes
TestCustomer1.AgileMapperLibraryDataCount10;Mapper.ConsoleApp;TestCustomer1;AgileMapperLibraryDataCount10;Job-DCGRNS;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;ColdStart;Default;Default;"Job-DCGRNS(IterationCount=1, RunStrategy=ColdStart)";;1;Workload;Actual;1;57562600;1;57562600;0;0;0;64
TestCustomer1.AgileMapperLibraryDataCount10;Mapper.ConsoleApp;TestCustomer1;AgileMapperLibraryDataCount10;Job-DCGRNS;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;ColdStart;Default;Default;"Job-DCGRNS(IterationCount=1, RunStrategy=ColdStart)";;1;Workload;Result;1;57562600;1;57562600;0;0;0;64
TestCustomer1.AgileMapperLibraryDataCount100;Mapper.ConsoleApp;TestCustomer1;AgileMapperLibraryDataCount100;Job-DCGRNS;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;ColdStart;Default;Default;"Job-DCGRNS(IterationCount=1, RunStrategy=ColdStart)";;1;Workload;Actual;1;53006200;1;53006200;0;0;0;64
TestCustomer1.AgileMapperLibraryDataCount100;Mapper.ConsoleApp;TestCustomer1;AgileMapperLibraryDataCount100;Job-DCGRNS;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;ColdStart;Default;Default;"Job-DCGRNS(IterationCount=1, RunStrategy=ColdStart)";;1;Workload;Result;1;53006200;1;53006200;0;0;0;64
TestCustomer1.AgileMapperLibraryDataCount1000;Mapper.ConsoleApp;TestCustomer1;AgileMapperLibraryDataCount1000;Job-DCGRNS;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;ColdStart;Default;Default;"Job-DCGRNS(IterationCount=1, RunStrategy=ColdStart)";;1;Workload;Actual;1;53579600;1;53579600;0;0;0;64
TestCustomer1.AgileMapperLibraryDataCount1000;Mapper.ConsoleApp;TestCustomer1;AgileMapperLibraryDataCount1000;Job-DCGRNS;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;ColdStart;Default;Default;"Job-DCGRNS(IterationCount=1, RunStrategy=ColdStart)";;1;Workload;Result;1;53579600;1;53579600;0;0;0;64
TestCustomer1.AgileMapperLibraryDataCount10000;Mapper.ConsoleApp;TestCustomer1;AgileMapperLibraryDataCount10000;Job-DCGRNS;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;ColdStart;Default;Default;"Job-DCGRNS(IterationCount=1, RunStrategy=ColdStart)";;1;Workload;Actual;1;51152600;1;51152600;0;0;0;64
TestCustomer1.AgileMapperLibraryDataCount10000;Mapper.ConsoleApp;TestCustomer1;AgileMapperLibraryDataCount10000;Job-DCGRNS;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;ColdStart;Default;Default;"Job-DCGRNS(IterationCount=1, RunStrategy=ColdStart)";;1;Workload;Result;1;51152600;1;51152600;0;0;0;64
TestCustomer1.AutoMapperLibraryDataCount10;Mapper.ConsoleApp;TestCustomer1;AutoMapperLibraryDataCount10;Job-DCGRNS;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;ColdStart;Default;Default;"Job-DCGRNS(IterationCount=1, RunStrategy=ColdStart)";;1;Workload;Actual;1;165700600;1;165700600;0;0;0;805520
TestCustomer1.AutoMapperLibraryDataCount10;Mapper.ConsoleApp;TestCustomer1;AutoMapperLibraryDataCount10;Job-DCGRNS;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;ColdStart;Default;Default;"Job-DCGRNS(IterationCount=1, RunStrategy=ColdStart)";;1;Workload;Result;1;165700600;1;165700600;0;0;0;805520
TestCustomer1.AutoMapperLibraryDataCount100;Mapper.ConsoleApp;TestCustomer1;AutoMapperLibraryDataCount100;Job-DCGRNS;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;ColdStart;Default;Default;"Job-DCGRNS(IterationCount=1, RunStrategy=ColdStart)";;1;Workload;Actual;1;159096900;1;159096900;0;0;0;805520
TestCustomer1.AutoMapperLibraryDataCount100;Mapper.ConsoleApp;TestCustomer1;AutoMapperLibraryDataCount100;Job-DCGRNS;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;ColdStart;Default;Default;"Job-DCGRNS(IterationCount=1, RunStrategy=ColdStart)";;1;Workload;Result;1;159096900;1;159096900;0;0;0;805520
TestCustomer1.AutoMapperLibraryDataCount1000;Mapper.ConsoleApp;TestCustomer1;AutoMapperLibraryDataCount1000;Job-DCGRNS;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;ColdStart;Default;Default;"Job-DCGRNS(IterationCount=1, RunStrategy=ColdStart)";;1;Workload;Actual;1;161508900;1;161508900;0;0;0;805520
TestCustomer1.AutoMapperLibraryDataCount1000;Mapper.ConsoleApp;TestCustomer1;AutoMapperLibraryDataCount1000;Job-DCGRNS;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;ColdStart;Default;Default;"Job-DCGRNS(IterationCount=1, RunStrategy=ColdStart)";;1;Workload;Result;1;161508900;1;161508900;0;0;0;805520
TestCustomer1.AutoMapperLibraryDataCount10000;Mapper.ConsoleApp;TestCustomer1;AutoMapperLibraryDataCount10000;Job-DCGRNS;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;ColdStart;Default;Default;"Job-DCGRNS(IterationCount=1, RunStrategy=ColdStart)";;1;Workload;Actual;1;176039900;1;176039900;0;0;0;805544
TestCustomer1.AutoMapperLibraryDataCount10000;Mapper.ConsoleApp;TestCustomer1;AutoMapperLibraryDataCount10000;Job-DCGRNS;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;ColdStart;Default;Default;"Job-DCGRNS(IterationCount=1, RunStrategy=ColdStart)";;1;Workload;Result;1;176039900;1;176039900;0;0;0;805544
TestCustomer1.MapsterLibraryDataCount10;Mapper.ConsoleApp;TestCustomer1;MapsterLibraryDataCount10;Job-DCGRNS;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;ColdStart;Default;Default;"Job-DCGRNS(IterationCount=1, RunStrategy=ColdStart)";;1;Workload;Actual;1;16906500;1;16906500;0;0;0;24
TestCustomer1.MapsterLibraryDataCount10;Mapper.ConsoleApp;TestCustomer1;MapsterLibraryDataCount10;Job-DCGRNS;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;ColdStart;Default;Default;"Job-DCGRNS(IterationCount=1, RunStrategy=ColdStart)";;1;Workload;Result;1;16906500;1;16906500;0;0;0;24
TestCustomer1.MapsterLibraryDataCount100;Mapper.ConsoleApp;TestCustomer1;MapsterLibraryDataCount100;Job-DCGRNS;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;ColdStart;Default;Default;"Job-DCGRNS(IterationCount=1, RunStrategy=ColdStart)";;1;Workload;Actual;1;16795800;1;16795800;0;0;0;24
TestCustomer1.MapsterLibraryDataCount100;Mapper.ConsoleApp;TestCustomer1;MapsterLibraryDataCount100;Job-DCGRNS;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;ColdStart;Default;Default;"Job-DCGRNS(IterationCount=1, RunStrategy=ColdStart)";;1;Workload;Result;1;16795800;1;16795800;0;0;0;24
TestCustomer1.MapsterLibraryDataCount1000;Mapper.ConsoleApp;TestCustomer1;MapsterLibraryDataCount1000;Job-DCGRNS;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;ColdStart;Default;Default;"Job-DCGRNS(IterationCount=1, RunStrategy=ColdStart)";;1;Workload;Actual;1;17838100;1;17838100;0;0;0;24
TestCustomer1.MapsterLibraryDataCount1000;Mapper.ConsoleApp;TestCustomer1;MapsterLibraryDataCount1000;Job-DCGRNS;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;ColdStart;Default;Default;"Job-DCGRNS(IterationCount=1, RunStrategy=ColdStart)";;1;Workload;Result;1;17838100;1;17838100;0;0;0;24
TestCustomer1.MapsterLibraryDataCount10000;Mapper.ConsoleApp;TestCustomer1;MapsterLibraryDataCount10000;Job-DCGRNS;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;ColdStart;Default;Default;"Job-DCGRNS(IterationCount=1, RunStrategy=ColdStart)";;1;Workload;Actual;1;16783800;1;16783800;0;0;0;24
TestCustomer1.MapsterLibraryDataCount10000;Mapper.ConsoleApp;TestCustomer1;MapsterLibraryDataCount10000;Job-DCGRNS;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;ColdStart;Default;Default;"Job-DCGRNS(IterationCount=1, RunStrategy=ColdStart)";;1;Workload;Result;1;16783800;1;16783800;0;0;0;24
